Project,CrashID,Driver,BugType,Sanitizer,BaselineIsApiBug,TriageLabel,TriageIsApiBug,EnhancedIsApiBug,HasAblation,TriageRules,TriageConfidence,JudgmentChanged,IsDuplicate,DuplicateOf,Signature,CrashFile,CrashFunction,GroundTruth
c-ares,c-ares_fuzz_driver_False_qwen3-coder-plus_1_crash_1,c-ares_fuzz_driver_False_qwen3-coder-plus_1,memory-leak,LeakSanitizer,True,noise,False,True,False,leak_only,0.65,True,False,,dedup:__interceptor_malloc--ares__addrinfo2hostent--ares_parse_aaaa_reply,/src/c-ares/src/lib/ares__addrinfo2hostent.c,ares__addrinfo2hostent,
c-ares,c-ares_fuzz_driver_False_qwen3-coder-plus_10_crash_1,c-ares_fuzz_driver_False_qwen3-coder-plus_10,,,True,noise,False,True,False,no_asan_stack,0.9,True,False,,sig:afdbf3f8191c9233,,,
c-ares,c-ares_fuzz_driver_False_qwen3-coder-plus_10_crash_2,c-ares_fuzz_driver_False_qwen3-coder-plus_10,,,True,noise,False,True,False,no_asan_stack,0.9,True,True,c-ares_fuzz_driver_False_qwen3-coder-plus_10_crash_1,sig:afdbf3f8191c9233,,,
c-ares,c-ares_fuzz_driver_False_qwen3-coder-plus_10_crash_3,c-ares_fuzz_driver_False_qwen3-coder-plus_10,,,True,noise,False,True,False,no_asan_stack,0.9,True,True,c-ares_fuzz_driver_False_qwen3-coder-plus_10_crash_2,sig:afdbf3f8191c9233,,,
c-ares,c-ares_fuzz_driver_False_qwen3-coder-plus_10_crash_4,c-ares_fuzz_driver_False_qwen3-coder-plus_10,SEGV,AddressSanitizer,True,likely_api_bug,True,True,False,"raw_struct_memcpy_pattern,null_deref_high_scariness",0.7200000000000001,False,False,,dedup:init_by_options--ares_init_options--LLVMFuzzerTestOneInput,/src/c-ares/src/lib/ares_init.c,init_by_options,
c-ares,c-ares_fuzz_driver_False_qwen3-coder-plus_10_crash_5,c-ares_fuzz_driver_False_qwen3-coder-plus_10,SEGV,AddressSanitizer,True,likely_api_bug,True,True,False,"raw_struct_memcpy_pattern,null_deref_high_scariness",0.7200000000000001,False,True,c-ares_fuzz_driver_False_qwen3-coder-plus_10_crash_4,dedup:init_by_options--ares_init_options--LLVMFuzzerTestOneInput,/src/c-ares/src/lib/ares_init.c,init_by_options,
c-ares,c-ares_fuzz_driver_False_qwen3-coder-plus_3_crash_1,c-ares_fuzz_driver_False_qwen3-coder-plus_3,memory-leak,LeakSanitizer,True,noise,False,True,False,leak_only,0.65,True,False,,dedup:__interceptor_malloc--ares_send--ares_query,/src/c-ares/src/lib/ares_send.c,ares_send,
c-ares,c-ares_fuzz_driver_False_qwen3-coder-plus_3_crash_2,c-ares_fuzz_driver_False_qwen3-coder-plus_3,memory-leak,LeakSanitizer,True,noise,False,True,False,leak_only,0.65,True,True,c-ares_fuzz_driver_False_qwen3-coder-plus_3_crash_1,dedup:__interceptor_malloc--ares_send--ares_query,/src/c-ares/src/lib/ares_send.c,ares_send,
c-ares,c-ares_fuzz_driver_False_qwen3-coder-plus_4_crash_1,c-ares_fuzz_driver_False_qwen3-coder-plus_4,attempting double-free,AddressSanitizer,False,likely_api_bug,True,False,False,"driver_dominant_stack,api_memory_error",0.76,True,False,,dedup:__interceptor_free--ares_free_data--LLVMFuzzerTestOneInput,,,
c-ares,c-ares_fuzz_driver_False_qwen3-coder-plus_5_crash_1,c-ares_fuzz_driver_False_qwen3-coder-plus_5,attempting free,AddressSanitizer,True,needs_review,True,True,False,,0.5,False,True,c-ares_fuzz_driver_False_qwen3-coder-plus_1_crash_1,dedup:__interceptor_malloc--ares__addrinfo2hostent--ares_parse_aaaa_reply,/src/c-ares/src/lib/ares_parse_aaaa_reply.c,ares_parse_aaaa_reply,
c-ares,fix_c-ares_fuzz_driver_False_qwen3-coder-plus_15_crash_1,fix_c-ares_fuzz_driver_False_qwen3-coder-plus_15,heap-use-after-free,AddressSanitizer,True,likely_api_bug,True,True,False,api_memory_error,0.95,False,True,c-ares_fuzz_driver_False_qwen3-coder-plus_4_crash_1,dedup:__interceptor_free--ares_free_data--LLVMFuzzerTestOneInput,/src/c-ares/src/lib/ares_data.c,ares_free_data,
c-ares,fix_c-ares_fuzz_driver_False_qwen3-coder-plus_24_crash_1,fix_c-ares_fuzz_driver_False_qwen3-coder-plus_24,stack-buffer-overflow,AddressSanitizer,True,likely_api_bug,True,True,False,api_memory_error,0.95,False,False,,dedup:LLVMFuzzerTestOneInput,/src/c-ares/src/lib/ares_process.c,end_query,
c-ares,fix_c-ares_fuzz_driver_False_qwen3-coder-plus_24_crash_2,fix_c-ares_fuzz_driver_False_qwen3-coder-plus_24,stack-buffer-overflow,AddressSanitizer,True,likely_api_bug,True,True,False,api_memory_error,0.95,False,True,fix_c-ares_fuzz_driver_False_qwen3-coder-plus_24_crash_1,dedup:LLVMFuzzerTestOneInput,/src/c-ares/src/lib/ares_process.c,end_query,
